[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000524s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000626s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001756s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001932s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002302s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_album` [ RunTime:0.001852s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_album_cate` [ RunTime:0.001773s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_group` [ RunTime:0.001674s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SELECT `id`,`title` FROM `pp_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000591s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001458s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000676s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 58 行.
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_cache` [ RunTime:0.001813s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001887s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001946s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001544s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`=0 WHERE 1=1 [ RunTime:0.002521s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SELECT `cid`,count(id) as cate_nums FROM `pp_items` GROUP BY cid  [ RunTime:0.000494s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '118' ) [ RunTime:0.000212s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '333' ) [ RunTime:0.000149s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '349' ) [ RunTime:0.000163s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '352' ) [ RunTime:0.000149s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '353' ) [ RunTime:0.000136s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '366' ) [ RunTime:0.000125s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '376' ) [ RunTime:0.000123s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: SELECT `cid`,sum(likes) as total FROM `pp_items` GROUP BY cid  [ RunTime:0.000455s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_likes`='0' WHERE ( `id` = '118' ) [ RunTime:0.000130s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_likes`='0' WHERE ( `id` = '333' ) [ RunTime:0.000115s ]
[ 2012-09-28T14:06:11+08:00 ] /SHX/PinPHP/admin.php?a=index&m=cache | SQL: UPDATE `pp_items_cate` SET `item_likes`='0' WHERE ( `id` = '349' ) [ RunTime:0.000108s ]
