[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | INFO: Tag[ app_begin ] --START--
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000829s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.002219s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000847s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001706s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001936s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002140s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001988s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001929s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.001936s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001728s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001628s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001971s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000561s ]
[ 2012-10-10T11:14:30+08:00 ] /SHX/PinPHP/index.php?m=uc&a=register_dialog | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.002028s ]
