[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000437s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000503s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001870s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000732s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001590s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.002179s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002107s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002302s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001779s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.002349s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001894s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001887s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.002385s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000840s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001896s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000960s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001877s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000797s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user` WHERE id=1 LIMIT 1   [ RunTime:0.000148s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE id=1 LIMIT 1   [ RunTime:0.000176s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_user` WHERE id=1 LIMIT 1   [ RunTime:0.000216s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id=1 and uid=1 LIMIT 1   [ RunTime:0.000161s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002148s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` ORDER BY ordid DESC  [ RunTime:0.003406s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 205 行.
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_focus` [ RunTime:0.002015s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002425s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002529s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE pid=0 AND is_hots=1 and status=1  [ RunTime:0.000953s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE pid=1 and status=1 ORDER BY ordid DESC LIMIT 0,10   [ RunTime:0.000438s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE pid in(-1,7,8,9,10,11) AND is_hots=1 and status=1 ORDER BY ordid DESC LIMIT 0,10   [ RunTime:0.000415s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE pid in(-1,7,8,9,10,11) AND is_hots=1 and status=1 ORDER BY ordid DESC  [ RunTime:0.000459s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=38 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000400s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=37 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000200s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=39 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000171s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=40 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000166s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=65 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000163s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_article` [ RunTime:0.002277s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_article` WHERE is_best=1 and status=1 ORDER BY add_time DESC LIMIT 1   [ RunTime:0.001089s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_article` WHERE cate_id=9 and status=1 ORDER BY is_hot DESC,add_time DESC LIMIT 0,4   [ RunTime:0.000261s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SELECT * FROM `pp_focus` WHERE cate_id=1 and status=1 ORDER BY ordid DESC  [ RunTime:0.000193s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002391s ]
[ 2012-10-15T17:40:24+08:00 ] /SHX/PinPHP/?a=index&m=index&sp=4&p=1 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.002370s ]
