[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ route_check ] --START--
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run CheckRoute Behavior [ RunTime:0.001900s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.002039s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001208s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001279s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.002773s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000760s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001893s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.002780s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002813s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002490s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002034s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.001894s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.002080s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.002175s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.002386s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000555s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001969s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000598s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001790s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000560s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 97 行.
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000079s ]
[ 2012-10-15T10:17:20+08:00 ] /SHX/PinPHP/uc/register | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 114 行.
