[ 2012-10-15T11:07:33+08:00 ] /SHX/PinPHP/index/Tpl/default/public/images/gotop.png | ERR: (ThinkException) 非法操作Tpl
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000811s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000962s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001748s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000991s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001893s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.001900s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002021s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002115s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001794s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.002057s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001808s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001850s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001934s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000534s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001668s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000639s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001675s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000588s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 97 行.
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000078s ]
[ 2012-10-15T11:07:34+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 114 行.
