[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000638s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000729s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001901s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000590s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001826s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.002576s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002741s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002085s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002032s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.002199s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.002187s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001795s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001919s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000616s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.002143s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000734s ]
[ 2012-10-15T11:27:45+08:00 ] /SHX/PinPHP/index.php?m=uc&a=login_dialog | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.002055s ]
